"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"max"	"maxcol"
"GO:0006349"	0.001587365	2.7e-05	0.022818425	0.000871128	0.857281615	0.000617347	0.000588787	0.00218748	0.114020847	"0.857281615"	"5"
"GO:0086010"	9.39e-09	2.72e-06	1.48e-06	2.86e-08	0.464361363	7.21e-11	1.22e-08	2.44e-06	0.53563195	"0.53563195"	"9"
"GO:0006120"	0.012327487	0.006797571	0.043617508	0.006529834	0.887515113	0.004708289	0.024998803	0.004544649	0.008960746	"0.887515113"	"5"
"GO:0007585"	1.57e-07	0.000107405	0.106762593	0.000713028	0.000224929	5.8e-08	2.32e-06	7.18e-06	0.892182327	"0.892182327"	"9"
"GO:0000186"	4.93e-08	0.002086007	0.002181926	1.93e-06	0.001392357	1.84e-08	1.91e-08	0.005643998	0.988693696	"0.988693696"	"9"
"GO:0000184"	1.67e-05	0.001139206	0.000316977	2e-05	0.247979782	6.3e-06	6.41e-06	0.002861475	0.747653088	"0.747653088"	"9"
"GO:0000183"	0.001876365	0.138539981	0.158632205	0.004691054	0.323065546	0.000707723	0.002358335	0.008643388	0.361485403	"0.361485403"	"9"
"GO:0000188"	4.84e-08	0.000250772	0.00313936	1.96e-08	0.053490776	1.54e-07	5.42e-07	2.81e-06	0.943115522	"0.943115522"	"9"
"GO:0004872"	2.86e-37	1.02e-18	1.13e-06	2.78e-25	3.22e-08	1.06e-37	1.45e-31	6.79e-25	0.999998834	"0.999998834"	"9"
"GO:0004871"	3.18e-39	6.54e-20	6.49e-13	1.03e-29	1.64e-08	1.74e-39	2.12e-33	2.2e-26	0.999999984	"0.999999984"	"9"
"GO:0004879"	0.00064928	0.002960146	0.338392908	0.015003952	0.614019549	0.000362177	0.000836229	0.001062515	0.026713245	"0.614019549"	"5"
"GO:0050661"	2.15e-05	0.001880943	0.104548239	0.000150046	0.144543911	8.82e-06	9.08e-05	0.000333891	0.748421839	"0.748421839"	"9"
"GO:0050660"	9.19e-14	5.26e-09	1.98e-05	2.6e-12	7.53e-07	8.36e-13	1.41e-11	4.82e-09	0.999979465	"0.999979465"	"9"
"GO:0048538"	9.05e-10	0.000992626	0.000786621	2.05e-08	0.000623105	5.71e-10	3.85e-09	4.23e-06	0.997593395	"0.997593395"	"9"
"GO:0048536"	0.00031975	0.030340507	0.169674386	0.001089118	0.1073742	0.000117719	0.000208887	0.014230684	0.676644749	"0.676644749"	"9"
"GO:0005694"	6.69e-22	3.2e-13	2.98e-05	2.27e-19	0.810381176	3.21e-22	2.99e-19	2.07e-16	0.189589059	"0.810381176"	"5"
"GO:0030334"	8.02e-11	2.62e-06	0.912784531	1.89e-06	5.37e-05	5.98e-11	2.57e-10	1.11e-07	0.087157176	"0.912784531"	"3"
"GO:0048286"	5.57e-08	0.000869712	0.000172322	1.24e-06	4.72e-05	3.54e-08	3.65e-08	0.000243608	0.998665762	"0.998665762"	"9"
"GO:0004252"	5.84e-20	3.33e-10	0.013840424	3.53e-14	4e-07	2.23e-20	5.9e-18	2.25e-13	0.986159176	"0.986159176"	"9"
"GO:0051044"	7.2e-06	0.011379154	0.285307179	0.02018808	0.000292337	3.13e-06	9.15e-05	8.59e-05	0.682645533	"0.682645533"	"9"
"GO:0044281"	4.56e-193	3.62e-98	1.86e-37	2.84e-140	1.36e-36	1.28e-192	5.94e-163	3.41e-121	1	"1"	"9"
"GO:0009168"	0.00150835	0.032495722	0.052712701	0.001116131	0.343293633	0.000724786	0.00195813	0.005779217	0.560411329	"0.560411329"	"9"
"GO:0043928"	4.92e-06	2.59e-05	0.000195398	2.14e-06	0.993137451	2.23e-06	3.49e-06	1.79e-05	0.006610558	"0.993137451"	"5"
"GO:0001755"	5.57e-07	0.000211763	0.741501323	0.000125044	0.004949596	2.52e-07	5.12e-06	1.62e-05	0.253190108	"0.741501323"	"3"
"GO:0001756"	0.000554623	0.140476372	0.008642396	0.002427779	0.033346679	0.000320656	0.001105345	0.013003981	0.80012217	"0.80012217"	"9"
"GO:0001750"	0.136384691	0.058770552	0.054614899	0.064166839	0.106745089	0.058387678	0.051259106	0.073669916	0.396001231	"0.396001231"	"9"
"GO:0016810"	0.029215919	0.094821979	0.068221726	0.011449578	0.327018853	0.020137018	0.016766046	0.053323293	0.379045589	"0.379045589"	"9"
